1	opcode_debug_name	Input	Output	output_format	formats	comment
871	aClass445_4700					
148	aClass445_4701					
49	aClass445_4702					
161	aClass445_4703					
603	aClass445_4704					
469	aClass445_4705					
594	aClass445_4706					
1012	aClass445_4707					
589	aClass445_4708					
843	aClass445_4709					
617	aClass445_4710					
902	aClass445_5380					
1011	aClass445_4712					
12	aClass445_4713					
841	aClass445_4714					
654	aClass445_5166					
761	aClass445_4716					
302	aClass445_4717					
931	aClass445_4718					
18	aClass445_5352					
408	aClass445_4831					
419	aClass445_4721					
520	aClass445_4606					
156	aClass445_4564					
970	aClass445_5440					
286	aClass445_4725					
700	aClass445_4979					
445	aClass445_4727					
308	aClass445_4769					
913	aClass445_5018					
297	aClass445_5086					
744	aClass445_4731					
846	aClass445_4732					
135	aClass445_4733					
702	aClass445_4734					
139	aClass445_4735					
316	aClass445_4736					
845	aClass445_4737					
1027	aClass445_4851					
735	aClass445_4739					
895	aClass445_4666					
238	aClass445_5314					
355	aClass445_4810					
269	aClass445_5267					
479	aClass445_4744					
800	aClass445_5345					
987	aClass445_4870					
204	aClass445_4747					
364	aClass445_4692					
439	aClass445_4749					
251	aClass445_5350					
48	aClass445_4984					
211	aClass445_4752					
698	aClass445_4523					
224	aClass445_4754					
482	aClass445_4755					
737	aClass445_4756					
318	aClass445_4778					
820	aClass445_5096					
525	aClass445_4759					
19	aClass445_4760					
997	aClass445_4761					
619	aClass445_4762					
180	aClass445_4763					
641	aClass445_4764					
993	aClass445_4765					
85	aClass445_4766					
610	aClass445_4767					
839	aClass445_5492					
562	aClass445_4653					
915	aClass445_4770					
593	aClass445_4771					
876	aClass445_4772					
510	aClass445_4746					
674	aClass445_5432					
288	aClass445_4775					
465	aClass445_4776					
864	aClass445_4777					
608	aClass445_5082					
852	aClass445_4779					
826	aClass445_4780					
777	aClass445_5117					
893	aClass445_4782					
564	aClass445_4783					
816	aClass445_4784					
942	aClass445_4556					
900	aClass445_4786					
706	aClass445_4787					
1016	aClass445_4788					
328	aClass445_5279					
191	aClass445_4790					
648	aClass445_4943					
994	aClass445_4532					
472	aClass445_4793					
398	aClass445_4794					
935	aClass445_5387					
946	aClass445_5236					
905	aClass445_4797					
741	aClass445_4973					
448	aClass445_4799					
561	aClass445_5407					
325	aClass445_4801					
394	aClass445_5541					
614	aClass445_4803					
274	aClass445_4836					
353	aClass445_4805					
94	aClass445_4795					
89	aClass445_4768					
459	aClass445_4808					
241	aClass445_4921					
507	aClass445_4509					
71	aClass445_4811					
1030	aClass445_4812					
927	aClass445_4813					
548	aClass445_4814					
213	aClass445_4815					
775	aClass445_5365					
452	aClass445_4817					
470	aClass445_4818					
391	aClass445_5325					
422	aClass445_4820					
543	aClass445_4821					
824	aClass445_4822					
554	aClass445_4823					
585	aClass445_4824					
336	aClass445_4825					
333	aClass445_4826					
406	aClass445_4827					
577	aClass445_4828					
23	aClass445_4829					
949	aClass445_4830					
334	aClass445_4789					
194	aClass445_4832					
929	aClass445_5005					
732	aClass445_5438					
1006	aClass445_4951					
504	aClass445_4616					
859	aClass445_4837					
786	aClass445_4838					
652	aClass445_4839					
248	aClass445_4840					
1003	aClass445_4841					
107	aClass445_4842					
1001	aClass445_5122					
1028	aClass445_4844					
887	aClass445_5341					
356	aClass445_4846					
810	aClass445_4868					
423	aClass445_4848					
765	aClass445_4849					
103	aClass445_5079					
515	aClass445_5141					
620	aClass445_4968					
396	aClass445_4853					
693	aClass445_4854					
220	aClass445_4855					
717	aClass445_5129					
96	aClass445_4857					
101	aClass445_4858					
280	aClass445_4859					
415	aClass445_4742					
420	aClass445_4726					
36	aClass445_4671					
496	aClass445_4863					
727	aClass445_4864					
305	aClass445_5335					
673	aClass445_4866					
676	aClass445_4867					
390	aClass445_4850					
292	aClass445_4869					
694	aClass445_4639					
81	aClass445_4510					
92	aClass445_4872					
357	aClass445_4873					
661	aClass445_5043					
539	aClass445_5062					
604	aClass445_5072					
332	aClass445_4877					
943	aClass445_4878					
649	aClass445_4991					
